candidate_id,rank,score,reasoning
CAND_0077337,1,86.5,Strong fit: Staff Machine Learning Engineer with 7.0 YoE; production expertise in Semantic Search and QLoRA and experience at product companies; active on platform (logged in 11 days ago) with a 60-day notice.
CAND_0081846,2,84.2985,Strong fit: Lead AI Engineer with 6.7 YoE; production expertise in Information Retrieval and pgvector and experience at product companies; solid trajectory with a 30-day notice.
CAND_0046525,3,83.75,Strong fit: Senior Machine Learning Engineer with 6.1 YoE; production expertise in Elasticsearch and Information Retrieval and experience at product companies; active on platform (logged in 14 days ago) with a 60-day notice.
CAND_0018499,4,83.0,Strong fit: Senior Machine Learning Engineer with 7.2 YoE; production expertise in Information Retrieval and QLoRA and experience at product companies; active on platform (logged in 24 days ago) with a 15-day notice.
CAND_0054123,5,81.1,Strong fit: Applied ML Engineer with 4.7 YoE; production expertise in pgvector and Python and experience at product companies; active on platform (logged in 29 days ago) with a 60-day notice.
CAND_0042506,6,80.3,Strong fit: Search Engineer with 4.2 YoE; production expertise in PEFT and Semantic Search and experience at product companies; active on platform (logged in 15 days ago) with a 15-day notice.
CAND_0030784,7,80.25,Strong fit: Data Scientist with 4.4 YoE; production expertise in Embeddings and Python and experience at product companies; active on platform (logged in 13 days ago) with a 90-day notice.
CAND_0005260,8,79.5,Strong fit: Senior NLP Engineer with 5.2 YoE; production expertise in Information Retrieval and Semantic Search and experience at product companies; active on platform (logged in 27 days ago) with a 60-day notice.
CAND_0064326,9,78.3,Strong fit: Search Engineer with 7.6 YoE; production expertise in Semantic Search and Python and experience at product companies; active on platform (logged in 16 days ago) with a 45-day notice.
CAND_0055905,10,77.8,Strong fit: Senior Machine Learning Engineer with 8.1 YoE; production expertise in Elasticsearch and Hugging Face Transformers and experience at product companies; active on platform (logged in 20 days ago) with a 30-day notice.
CAND_0096142,11,77.8,Strong fit: Applied ML Engineer with 5.0 YoE; production expertise in LoRA and Python and experience at product companies; active on platform (logged in 16 days ago) with a 120-day notice.
CAND_0062247,12,77.7645,Strong fit: AI Engineer with 7.3 YoE; production expertise in Vector Search and PEFT and experience at product companies; solid trajectory with a 30-day notice.
CAND_0099401,13,77.55,Strong fit: NLP Engineer with 7.7 YoE; production expertise in Embeddings and Information Retrieval and experience at product companies; active on platform (logged in 10 days ago) with a 90-day notice.
CAND_0046064,14,77.4675,Strong fit: Senior NLP Engineer with 8.9 YoE; production expertise in Python and OpenSearch and experience at product companies; solid trajectory with a 30-day notice.
CAND_0081852,15,77.25,Strong fit: Senior Data Scientist with 5.9 YoE; production expertise in Semantic Search and pgvector and experience at product companies; active on platform (logged in 14 days ago) with a 45-day notice.
CAND_0007460,16,76.9,Strong fit: AI Engineer with 4.7 YoE; production expertise in PEFT and Embeddings and experience at product companies; active on platform (logged in 16 days ago) with a 120-day notice.
CAND_0074225,17,76.65,Strong fit: Machine Learning Engineer with 4.3 YoE; production expertise in Semantic Search and Elasticsearch and experience at product companies; active on platform (logged in 17 days ago) with a 120-day notice.
CAND_0065430,18,76.6,Strong fit: ML Engineer with 4.4 YoE; production expertise in Semantic Search and ASR and experience at product companies; active on platform (logged in 29 days ago) with a 45-day notice.
CAND_0002025,19,76.45,Strong fit: Senior AI Engineer with 5.9 YoE; production expertise in OpenSearch and Sentence Transformers and experience at product companies; active on platform (logged in 11 days ago) with a 30-day notice.
CAND_0029367,20,76.0,Strong fit: Senior Data Scientist with 5.7 YoE; production expertise in QLoRA and Sentence Transformers and experience at product companies; active on platform (logged in 17 days ago) with a 90-day notice.
CAND_0015057,21,75.6,Qualified ML Engineer (4.6 YoE) showing strong proficiency in Embeddings and Semantic Search; included despite concern regarding notice period is high at 90 days due to solid skill alignment.
CAND_0030031,22,75.6,Qualified AI Engineer (5.7 YoE) showing strong proficiency in Information Retrieval and Python; included despite concern regarding located internationally with no relocation willingness due to solid skill alignment.
CAND_0099269,23,75.5,Qualified Data Scientist (5.5 YoE) showing strong proficiency in Elasticsearch and NLP; included despite concern regarding notice period is high at 120 days due to solid skill alignment.
CAND_0088025,24,75.25,Qualified Staff Machine Learning Engineer (8.6 YoE) showing strong proficiency in QLoRA and LLMs; included despite concern regarding notice period is high at 90 days due to solid skill alignment.
CAND_0050876,25,75.05,Qualified Applied ML Engineer (6.0 YoE) showing strong proficiency in OpenSearch and QLoRA; included despite concern regarding notice period is high at 90 days due to solid skill alignment.
CAND_0069905,26,74.865,Qualified Applied ML Engineer (6.6 YoE) showing strong proficiency in LoRA and Sentence Transformers; included despite concern regarding notice period is high at 90 days due to solid skill alignment.
CAND_0052328,27,74.844,Qualified Recommendation Systems Engineer (6.5 YoE) showing strong proficiency in LoRA and OpenSearch; included despite concern regarding located internationally with no relocation willingness due to solid skill alignment.
CAND_0051004,28,74.544,Qualified Senior Data Scientist (4.7 YoE) showing strong proficiency in Embeddings and Semantic Search; included despite concern regarding requires location relocation alignment due to solid skill alignment.
CAND_0064904,29,74.5395,Qualified AI Engineer (4.9 YoE) showing strong proficiency in Embeddings and Hugging Face Transformers; included despite concern regarding notice period is high at 90 days due to solid skill alignment.
CAND_0004402,30,74.4,Qualified AI Research Engineer (6.0 YoE) showing strong proficiency in PEFT and TTS; included despite concern regarding located internationally with no relocation willingness due to solid skill alignment.
CAND_0072660,31,74.35,Qualified Machine Learning Engineer (7.1 YoE) showing strong proficiency in LoRA and pgvector; included despite concern regarding located internationally with no relocation willingness due to solid skill alignment.
CAND_0079387,32,74.2995,Qualified AI Engineer (6.9 YoE) showing strong proficiency in Python and Sentence Transformers; included despite concern regarding located internationally with no relocation willingness due to solid skill alignment.
CAND_0020708,33,74.064,Qualified Search Engineer (4.2 YoE) showing strong proficiency in NLP and Python; included despite concern regarding located internationally with no relocation willingness due to solid skill alignment.
CAND_0009691,34,74.0,Qualified Applied ML Engineer (6.2 YoE) showing strong proficiency in Fine-tuning LLMs and LoRA; included despite concern regarding notice period is high at 120 days due to solid skill alignment.
CAND_0071974,35,73.8625,Qualified Senior AI Engineer (7.8 YoE) showing strong proficiency in LoRA and PEFT; included despite concern regarding located internationally with no relocation willingness due to solid skill alignment.
CAND_0068811,36,73.7,Qualified Applied ML Engineer (8.0 YoE) showing strong proficiency in Vector Search and Embeddings; included despite concern regarding requires location relocation alignment due to solid skill alignment.
CAND_0089947,37,73.6875,Qualified Junior ML Engineer (5.4 YoE) showing strong proficiency in Vector Search and Elasticsearch; included despite concern regarding notice period is high at 90 days due to solid skill alignment.
CAND_0058688,38,73.2875,Qualified AI Engineer (6.7 YoE) showing strong proficiency in Embeddings and Information Retrieval; included despite concern regarding requires location relocation alignment due to solid skill alignment.
CAND_0070202,39,73.2,Qualified Machine Learning Engineer (5.1 YoE) showing strong proficiency in Embeddings and LoRA; included despite concern regarding notice period is high at 90 days due to solid skill alignment.
CAND_0010149,40,73.05,Qualified ML Engineer (6.9 YoE) showing strong proficiency in Vector Search and Elasticsearch; included despite concern regarding notice period is high at 90 days due to solid skill alignment.
CAND_0011162,41,73.0,Qualified Recommendation Systems Engineer (5.8 YoE) showing strong proficiency in Vector Search and LoRA; included despite concern regarding notice period is high at 90 days due to solid skill alignment.
CAND_0024466,42,72.9375,Qualified Search Engineer (5.2 YoE) showing strong proficiency in pgvector and Fine-tuning LLMs; included despite concern regarding notice period is high at 120 days due to solid skill alignment.
CAND_0007009,43,72.85,Qualified Recommendation Systems Engineer (7.9 YoE) showing strong proficiency in Python and Embeddings; included despite concern regarding located internationally with no relocation willingness due to solid skill alignment.
CAND_0010257,44,72.75,Qualified Senior Data Scientist (6.5 YoE) showing strong proficiency in Python and OpenSearch; included despite concern regarding notice period is high at 120 days due to solid skill alignment.
CAND_0011687,45,72.75,Qualified Senior NLP Engineer (7.8 YoE) showing strong proficiency in OpenSearch and PEFT; included despite concern regarding located internationally with no relocation willingness due to solid skill alignment.
CAND_0075574,46,72.65,Qualified Machine Learning Engineer (5.7 YoE) showing strong proficiency in Hugging Face Transformers and pgvector; included despite concern regarding requires location relocation alignment due to solid skill alignment.
CAND_0052682,47,72.567,Qualified NLP Engineer (6.6 YoE) showing strong proficiency in QLoRA and Semantic Search; included despite concern regarding located internationally with no relocation willingness due to solid skill alignment.
CAND_0019159,48,72.45,Qualified ML Engineer (6.1 YoE) showing strong proficiency in Sentence Transformers and PEFT; included despite concern regarding requires location relocation alignment due to solid skill alignment.
CAND_0041669,49,72.374125,Qualified Recommendation Systems Engineer (8.0 YoE) showing strong proficiency in PEFT and QLoRA; included despite concern regarding located internationally with no relocation willingness due to solid skill alignment.
CAND_0052169,50,72.25,Qualified ML Engineer (4.1 YoE) showing strong proficiency in Semantic Search and Embeddings; included despite concern regarding notice period is high at 120 days due to solid skill alignment.
CAND_0076831,51,72.25,Qualified Search Engineer (4.0 YoE) showing strong proficiency in LLMs and NLP; included despite concern regarding notice period is high at 90 days due to solid skill alignment.
CAND_0006418,52,72.2475,Qualified Machine Learning Engineer (5.7 YoE) showing strong proficiency in Semantic Search and Embeddings; included despite concern regarding requires location relocation alignment due to solid skill alignment.
CAND_0065514,53,72.1,Qualified ML Engineer (6.6 YoE) showing strong proficiency in Elasticsearch and Semantic Search; included despite concern regarding notice period is high at 90 days due to solid skill alignment.
CAND_0061257,54,71.775,Qualified Staff Machine Learning Engineer (8.0 YoE) showing strong proficiency in PEFT and Information Retrieval Systems; included despite concern regarding located internationally with no relocation willingness due to solid skill alignment.
CAND_0043228,55,71.75,Qualified Applied ML Engineer (6.8 YoE) showing strong proficiency in NLP and Hugging Face Transformers; included despite concern regarding located internationally with no relocation willingness due to solid skill alignment.
